name,setCode,number,power,toughness,manaCost,text,type,layout,uuid,otherFaceIds
Soldier,T10E,1,1,1,,,Token Creature — Soldier,token,5aea21ce-bd08-5cd4-87f1-991f8f708d7c,
Zombie,T10E,2,2,2,,,Token Creature — Zombie,token,63ac47ed-3457-5af8-9a33-1bb5dcb9ca9f,
Dragon,T10E,3,5,5,,Flying,Token Creature — Dragon,token,7decf258-eb10-50da-83f7-c7eba74adbfb,
Goblin,T10E,4,1,1,,,Token Creature — Goblin,token,8b44e4ca-fb3a-5ef1-a607-6ed5b98cb216,
Saproling,T10E,5,1,1,,,Token Creature — Saproling,token,e5f8bf25-2f3e-59c6-a59e-313184ee43db,
Wasp,T10E,6,1,1,,Flying,Token Artifact Creature — Insect,token,ce98066c-a3a1-51a2-bffc-12c38ef45905,
Eldrazi Scion,T2X2,1,1,1,,Sacrifice this creature: Add {C}.,Token Creature — Eldrazi Scion,token,7cba0b1c-2752-57f2-bdee-e0f45123aa54,
Spirit,T2X2,2,1,1,,,Token Creature — Spirit,token,833fee32-d935-51e4-b378-8fa466620a49,
Angel,T2X2,3,4,4,,"Flying, vigilance",Token Creature — Angel,token,4ad6b1d3-c030-52bd-a568-6134cd2ea3ed,
Aven Initiate,T2X2,4,3,2,,Flying,Token Creature — Zombie Bird Warrior,token,03462caa-c066-5f44-8af9-5932944e808b,
Knight,T2X2,5,2,2,,Vigilance,Token Creature — Knight,token,06558f31-bce8-5504-9058-d836968bab2b,
Monk,T2X2,6,1,1,,Prowess,Token Creature — Monk,token,e4440487-4f32-5ed9-b485-0e34a2258f79,
Vampire,T2X2,9,1,1,,Lifelink (Damage dealt by this creature also causes you to gain that much life.),Token Creature — Vampire,token,5e95d749-81f3-5294-a405-b4b65a32eb4f,
Drake,T2X2,10,2,2,,Flying,Token Creature — Drake,token,7c0e0855-217e-56a4-9a75-5409a158aec1,
Faerie Rogue,T2X2,11,1,1,,Flying,Token Creature — Faerie Rogue,token,367b2213-a86a-5fdb-90f7-8c93a74cb3c3,
Elemental,T2X2,13,1,1,,,Token Creature — Elemental,token,27b9adf3-cfb3-5551-adad-757e7f00201c,
Bear,T2X2,14,4,4,,,Token Creature — Bear,token,18eef80e-48c6-500e-98cf-3ed4c3601b55,
Boar,T2X2,15,3,3,,,Token Creature — Boar,token,c8599875-0389-5953-be39-61a5a7b5bb6a,
Egg,T2X2,16,0,1,,Defender,Token Creature — Egg,token,9db7edf6-2139-5df7-8e94-5906ee38136d,
Spider,T2X2,18,1,2,,Reach,Token Creature — Spider,token,23cf1fd4-4cb8-52d1-89ca-401b60ff3ec9,
Cat Dragon,T2X2,19,3,3,,Flying,Token Creature — Cat Dragon,token,77468071-de65-572f-80bc-88e11a77392f,
Worm,T2X2,20,1,1,,,Token Creature — Worm,token,d1b963a7-1ccd-5e24-91d9-fe750f54a7fd,
Phyrexian Golem,T2X2,21,3,3,,,Token Artifact Creature — Phyrexian Golem,token,5450889c-b58f-5974-955c-b5f0d88d1338,
Treasure,T2X2,22,,,,"{T}, Sacrifice this artifact: Add one mana of any color.",Token Artifact — Treasure,token,ba3bda5a-b0c8-5931-818b-0126c810dc7c,
"Liliana, the Last Hope Emblem",T2X2,23,,,,"At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.",Emblem — Liliana,emblem,2d0f1dda-5182-553c-97d2-57710d02a3de,
Wrenn and Six Emblem,T2X2,24,,,,Instant and sorcery cards in your graveyard have retrace. (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.),Emblem — Wrenn,emblem,695a65fa-4180-5482-aed8-1c9f84226998,
Eldrazi Spawn,T2XM,1,0,1,,Sacrifice this creature: Add {C}.,Token Creature — Eldrazi Spawn,token,4346b802-ff21-513e-8ba9-1bce9bc0d26c,
Shapeshifter,T2XM,2,1,1,,Changeling,Token Creature — Shapeshifter,token,1d4754fb-6636-50bc-b84b-273f1dc27277,
Cat,T2XM,4,2,2,,,Token Creature — Cat,token,d3de374f-d4ac-50db-a857-b28760fec851,
Human Soldier,T2XM,5,1,1,,,Token Creature — Human Soldier,token,697e7dfa-754d-5a54-8f27-63f88029538f,
Myr,T2XM,7,2,1,,,Token Artifact Creature — Myr,token,cd183a9e-8db1-5261-8f81-f27c0de1c01f,
Thopter,T2XM,8,1,1,,Flying,Token Artifact Creature — Thopter,token,b5b44ebe-3809-5952-95e8-ab372abbcddb,
Demon,T2XM,9,5,5,,Flying,Token Creature — Demon,token,068c9dc1-ab3c-5fe7-af14-6005ebb4b874,
Germ,T2XM,10,0,0,,,Token Creature — Germ,token,93b079d9-286b-5abd-a242-41344559f6a4,
Marit Lage,T2XM,11,20,20,,"Flying, indestructible",Token Legendary Creature — Avatar,token,ffabd0a6-5006-5c9a-8718-531071d99107,
Ape,T2XM,12,3,3,,,Token Creature — Ape,token,ce8711c2-89a5-5c92-b3ab-36d351e9ac92,
Beast,T2XM,13,3,3,,,Token Creature — Beast,token,2f121db8-67ac-5db9-b8e2-9c630b2ace68,
Elephant,T2XM,14,3,3,,,Token Creature — Elephant,token,8a91a134-801f-57c0-b095-73380ee4edba,
Ooze,T2XM,15,*,*,,,Token Creature — Ooze,token,3df270fb-2842-5181-aeb3-6a653e0691bf,
Plant,T2XM,16,0,1,,,Token Creature — Plant,token,e4b71c7b-3c28-599f-a717-8da11efef5df,
Squirrel,T2XM,18,1,1,,,Token Creature — Squirrel,token,b414d100-00cf-51eb-84fc-f0e4d50fb8b4,
Wolf,T2XM,19,2,2,,,Token Creature — Wolf,token,b484e108-19d6-592c-97c1-a25761a1d38b,
Elf Warrior,T2XM,21,1,1,,,Token Creature — Elf Warrior,token,d76f682c-a7c1-53dc-88d1-9a1237a3d1e5,
Clue,T2XM,22,,,,"{2}, Sacrifice this artifact: Draw a card.",Token Artifact — Clue,token,37292e23-13f4-5108-bac2-2e75f92f6a17,
Golem,T2XM,23,3,3,,,Token Artifact Creature — Golem,token,fc308b6a-24aa-5500-b6b8-98e72a4cfce5,
Servo,T2XM,25,1,1,,,Token Artifact Creature — Servo,token,dcad146d-8118-5810-ae0a-252f4adf69ae,
Tuktuk the Returned,T2XM,28,5,5,,Tuktuk the Returned is legendary.,Token Artifact Creature — Goblin Golem,token,ced7b783-d646-567a-a951-6a1ad02808b4,
Wurm,T2XM,29,3,3,,Deathtouch,Token Artifact Creature — Wurm,token,27b9da7b-7621-59be-a477-1137f41b7a83,
Copy,T2XM,31,,,,(This token can be used to represent a token that's a copy of a permanent.),Token,token,70911aa0-1297-5263-b92c-2348ab09b87e,
Human,T30A,1,1,1,,,Token Creature — Human,token,835746f4-de9f-5e32-9ada-db12ea22449f,
Human Warrior,T30A,2,1,1,,,Token Creature — Human Warrior,token,f1b671ae-b6e9-5bd5-aab5-6605a16a9ae1,
