name,setCode,number,power,toughness,manaCost,text,type,layout,uuid,otherFaceIds,relatedCards
Soldier,T10E,1,1,1,,,Token Creature — Soldier,token,5aea21ce-bd08-5cd4-87f1-991f8f708d7c,,"{""reverseRelated"": [""Abdel Adrian, Gorion's Ward"", ""Akroan Horse"", ""Alistair, the Brigadier"", ""Alliance of Arms"", ""Ancestral Blade"", ""Argivian Cavalier"", ""Attended Knight"", ""Baird, Argivian Recruiter"", ""Bant Sojourners"", ""Basri Ket"", ""Basri Ket Emblem"", ""Benalish Commander"", ""Captain of the Watch"", ""Captain's Call"", ""Charisma Bobblehead"", ""Company Commander"", ""Darien, King of Kjeldor"", ""Decree of Justice"", ""Defiler of Faith"", ""Deploy to the Front"", ""Elspeth Tirel"", ""Elspeth's Talent"", ""Elspeth, Knight-Errant"", ""Elspeth, Sun's Champion"", ""Entrapment Maneuver"", ""Evangel of Heliod"", ""Even the Odds"", ""First Response"", ""Hero of Bladehold"", ""Heroic Reinforcements"", ""Historian's Boon"", ""Horn of Valhalla // Ysgard's Call"", ""Ironroot Warlord"", ""Kate Stewart"", ""Keeper of the Accord"", ""Keldon Strike Team"", ""King Darien XLVIII"", ""Kjeldoran Outpost"", ""Knight-Captain of Eos"", ""Launch the Fleet"", ""Lena, Selfless Champion"", ""Lieutenants of the Guard"", ""Martial Coup"", ""Memorial to Glory"", ""Mobilization"", ""Murder Investigation"", ""Phyrexian Warhorse"", ""Prava of the Steel Legion"", ""Precinct Captain"", ""Protect the Negotiators"", ""Queen Allenal of Ruadach"", ""Raise the Alarm"", ""Recruit the Worthy"", ""Recruitment Drive"", ""Resolute Reinforcements"", ""Scout the Wilderness"", ""Secure the Scene"", ""Security Detail"", ""Sergeant-at-Arms"", ""Skyknight Vanguard"", ""Stormfront Riders"", ""Throne of Empires"", ""Timely Reinforcements"", ""Torsten, Founder of Benalia"", ""Tura Kenner\\u00fcd, Skyknight"", ""UNIT Headquarters"", ""Undercellar Sweep"", ""Veteran Soldier"", ""Yes Man, Personal Securitron"", ""You're Confronted by Robbers""]}"
Zombie,T10E,2,2,2,,,Token Creature — Zombie,token,63ac47ed-3457-5af8-9a33-1bb5dcb9ca9f,,"{""reverseRelated"": [""Acererak the Archlich"", ""Aphemia, the Cacophony"", ""Archdemon of Unx"", ""Army of the Damned"", ""Assemble the Rank and Vile"", ""Awaken the Erstwhile"", ""Bone Miser"", ""Boneclad Necromancer"", ""Bridge from Below"", ""Captive Audience"", ""Cellar Door"", ""Cemetery Reaper"", ""Cradle of the Accursed"", ""Cryptbreaker"", ""Curse of Disturbance"", ""Curse of Shallow Graves"", ""Dark Salvation"", ""Death Tyrant"", ""Diregraf Colossus"", ""Doomed Dissenter"", ""Drana's Chosen"", ""Dread Summons"", ""Drunau Corpse Trawler"", ""Dunes of the Dead"", ""Dying to Serve"", ""Empty the Pits"", ""Endless Ranks of the Dead"", ""Feast or Famine"", ""Field of the Dead"", ""From Under the Floorboards"", ""Ghoulcaller Gisa"", ""Ghoulcaller's Accomplice"", ""Gisa's Bidding"", ""Graf Harvest"", ""Grave Titan"", ""Graveyard Marshal"", ""Grixis Slavedriver"", ""Havengul Runebinder"", ""Headless Rider"", ""Hour of Promise"", ""Invasion of Innistrad // Deluge of the Dead"", ""Kalitas, Traitor of Ghet"", ""Lair of the Ashen Idol"", ""Liliana's Devotee"", ""Liliana's Mastery"", ""Liliana's Reaver"", ""Liliana, Death's Majesty"", ""Liliana, Dreadhorde General"", ""Liliana, Heretical Healer // Liliana, Defiant Necromancer"", ""Liliana, the Last Hope"", ""Liliana, the Last Hope Emblem"", ""Maalfeld Twins"", ""Magus of the Bridge"", ""Midnight Ritual"", ""Moan of the Unhallowed"", ""Necromancer's Covenant"", ""Necromancer's Stockpile"", ""Necromaster Dragon"", ""Necromentia"", ""Necrotic Hex"", ""Never // Return"", ""Nevinyrral, Urborg Tyrant"", ""Noosegraf Mob"", ""Null Caller"", ""Oath of Liliana"", ""Oglor, Devoted Assistant"", ""Open the Graves"", ""Overseer of the Damned"", ""Rakshasa Gravecaller"", ""Rank Officer"", ""Reap the Seagraf"", ""Rise from the Tides"", ""Rotlung Reanimator"", ""Sarcomancy"", ""Shamble Back"", ""Sidisi, Brood Tyrant"", ""Skull Skaab"", ""Stir the Sands"", ""Suspicious Shambler"", ""Syphon Flesh"", ""The Book of Vile Darkness"", ""The Fourth Sphere"", ""Tobias, Doomed Conqueror"", ""Tombstone Stairwell"", ""Tormod, the Desecrator"", ""Tymaret Calls the Dead"", ""Undead Alchemist"", ""Undead Servant"", ""Unscythe, Killer of Kings"", ""Varina, Lich Queen"", ""Vile Rebirth"", ""Wakedancer"", ""Wand of Orcus"", ""Waste Not"", ""Wight"", ""Xathrid Necromancer"", ""Zombie Infestation""]}"
Dragon,T10E,3,5,5,,Flying,Token Creature — Dragon,token,7decf258-eb10-50da-83f7-c7eba74adbfb,,"{""reverseRelated"": [""Awaken the Sky Tyrant"", ""Day of the Dragons"", ""Death by Dragons"", ""Draconic Disciple"", ""Dragon Roost"", ""Dragonkin Berserker"", ""Dragonmaster Outcast"", ""Lathliss, Dragon Queen"", ""Look Skyward and Despair"", ""Loot Dispute"", ""Sarkhan the Mad"", ""Sarkhan, Fireblood"", ""Shiv"", ""Skyline Despot""]}"
Goblin,T10E,4,1,1,,,Token Creature — Goblin,token,8b44e4ca-fb3a-5ef1-a607-6ed5b98cb216,,"{""reverseRelated"": [""A Killer Among Us"", ""Ardoz, Cobbler of War"", ""Battle Cry Goblin"", ""Beetleback Chief"", ""Blast from the Past"", ""Box of Free-Range Goblins"", ""Den of the Bugbear"", ""Dragon Fodder"", ""Empty the Warrens"", ""Garbage Elemental"", ""Gift Horse"", ""Goblin Assault"", ""Goblin Gang Leader"", ""Goblin Gathering"", ""Goblin Goliath"", ""Goblin Instigator"", ""Goblin Marshal"", ""Goblin Morningstar"", ""Goblin Offensive"", ""Goblin Rabblemaster"", ""Goblin Rally"", ""Goblin Traprunner"", ""Goblin War Party"", ""Goblin Warrens"", ""Goblinslide"", ""Hordeling Outburst"", ""Hunted Phantasm"", ""Ib Halfheart, Goblin Tactician"", ""Jund"", ""Kathari Bomber"", ""Krenko's Command"", ""Krenko, Baron of Tin Street"", ""Krenko, Mob Boss"", ""Krenko, Tin Street Kingpin"", ""Kuldotha Rebirth"", ""Legion Warboss"", ""Lost Mine of Phandelver"", ""Mardu Ascendancy"", ""Mogg Alarm"", ""Mogg Infestation"", ""Mogg War Marshal"", ""Pashalik Mons"", ""Ponyback Brigade"", ""Rasputin, the Oneiromancer"", ""Rulik Mons, Warren Chief"", ""Sarpadian Empires, Vol. VII"", ""Siege-Gang Commander"", ""Sling-Gang Lieutenant"", ""Squee, Dubious Monarch"", ""Survey the Wreckage"", ""Swarming Goblins"", ""Tin Street Cadet"", ""Warbreak Trumpeter"", ""You See a Pair of Goblins""]}"
Saproling,T10E,5,1,1,,,Token Creature — Saproling,token,e5f8bf25-2f3e-59c6-a59e-313184ee43db,,"{""reverseRelated"": [""Aether Mutation"", ""Artifact Mutation"", ""Aura Mutation"", ""Bramble Elemental"", ""Death Mutation"", ""Deathbloom Thallid"", ""Deathspore Thallid"", ""Dreampod Druid"", ""Druidic Satchel"", ""Elvish Farmer"", ""Fists of Ironwood"", ""Flash Foliage"", ""Fungal Infection"", ""Fungal Plots"", ""Fungal Rebirth"", ""Fungal Sprouting"", ""Ghave, Guru of Spores"", ""Golgari Germination"", ""Grand Ossuary"", ""Greener Pastures"", ""Jade Mage"", ""Jund Battlemage"", ""Korozda Guildmage"", ""Last Stand"", ""Morbid Bloom"", ""Mycologist"", ""Mycoloth"", ""Necrogenesis"", ""Nemata, Grove Guardian"", ""Nemata, Primeval Warden"", ""Night Soil"", ""Overgrown Armasaur"", ""Pallid Mycoderm"", ""Pollenbright Wings"", ""Psychotrope Thallid"", ""Rith's Charm"", ""Rith, the Awakener"", ""Saproling Cluster"", ""Saproling Infestation"", ""Saproling Migration"", ""Saproling Symbiosis"", ""Sarpadian Empires, Vol. VII"", ""Savage Thallid"", ""Scatter the Seeds"", ""Seed Spark"", ""Selesnya Evangel"", ""Selesnya Guildmage"", ""Slimefoot and Squee"", ""Slimefoot, the Stowaway"", ""Spontaneous Generation"", ""Spore Burst"", ""Spore Swarm"", ""Sporemound"", ""Sporesower Thallid"", ""Sporeweb Weaver"", ""Sporogenesis"", ""Sporoloth Ancient"", ""Sprout"", ""Sprout Swarm"", ""Sprouting Thrinax"", ""Supply // Demand"", ""Tana, the Bloodsower"", ""Tendershoot Dryad"", ""Thallid"", ""Thallid Devourer"", ""Thallid Germinator"", ""Thallid Shell-Dweller"", ""The Weatherseed Treaty"", ""Thelonite Hermit"", ""Tribune of Rot"", ""Tukatongue Thallid"", ""Ulasht, the Hate Seed"", ""Undercellar Myconid"", ""Utopia Mycon"", ""Verdant Embrace"", ""Verdant Force"", ""Verdeloth the Ancient"", ""Vitaspore Thallid"", ""Vitu-Ghazi, the City-Tree"", ""Yavimaya Sapherd""]}"
Wasp,T10E,6,1,1,,Flying,Token Artifact Creature — Insect,token,ce98066c-a3a1-51a2-bffc-12c38ef45905,,"{""reverseRelated"": [""The Hive""]}"
Eldrazi Scion,T2X2,1,1,1,,Sacrifice this creature: Add {C}.,Token Creature — Eldrazi Scion,token,7cba0b1c-2752-57f2-bdee-e0f45123aa54,,"{""reverseRelated"": [""Abstruse Interference"", ""Adverse Conditions"", ""Birthing Hulk"", ""Blight Herder"", ""Blisterpod"", ""Brood Butcher"", ""Brood Monitor"", ""Call the Scions"", ""Carrier Thrall"", ""Catacomb Sifter"", ""Drowner of Hope"", ""Eldrazi Skyspawner"", ""Eyeless Watcher"", ""From Beyond"", ""Grave Birthing"", ""Incubator Drone"", ""Scion Summoner"", ""Sifter of Skulls"", ""Spawning Bed"", ""Vile Redeemer"", ""Void Attendant"", ""Warping Wail""]}"
Spirit,T2X2,2,1,1,,,Token Creature — Spirit,token,833fee32-d935-51e4-b378-8fa466620a49,,"{""reverseRelated"": [""Akki Ember-Keeper"", ""Baku Altar"", ""Concord with the Kami"", ""Dripping-Tongue Zubera"", ""Forbidden Orchard"", ""Go-Shintai of Shared Purpose"", ""Gods' Eye, Gate to the Reikai"", ""Honden of Life's Web"", ""Myojin of Blooming Dawn"", ""One with the Kami"", ""Promise of Bunrei"", ""Release to Memory"", ""Searchlight Companion"", ""Sekki, Seasons' Guide"", ""Sokenzan, Crucible of Defiance"", ""Spiritual Visit"", ""Teachings of the Kirin // Kirin-Touched Orochi"", ""The Restoration of Eiganjo // Architect of Restoration""]}"
Angel,T2X2,3,4,4,,"Flying, vigilance",Token Creature — Angel,token,4ad6b1d3-c030-52bd-a568-6134cd2ea3ed,,"{""reverseRelated"": [""Divine Visitation"", ""Finale of Glory"", ""Historian's Boon"", ""Jenson Carthalion, Druid Exile"", ""Parhelion II"", ""Rampage of the Valkyries"", ""Resplendent Angel"", ""Serra the Benevolent"", ""Valkyrie Harbinger""]}"
Aven Initiate,T2X2,4,3,2,,Flying,Token Creature — Zombie Bird Warrior,token,03462caa-c066-5f44-8af9-5932944e808b,,
